id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0qG1teoBvooRo7Z5Z8edCk,Politics,La ritournelle,Sébastien Tellier,False,59,0.558,0.723,0,-11.214,0,0.0312,0.00405,0.501,0.0863,0.526,102.833,audio_features,spotify:track:0qG1teoBvooRo7Z5Z8edCk,https://api.spotify.com/v1/tracks/0qG1teoBvooRo7Z5Z8edCk,https://api.spotify.com/v1/audio-analysis/0qG1teoBvooRo7Z5Z8edCk,7.574666666666666,4
3N6VcjCemGiNVTja2jO18j,The Horizon Just Laughed,Percy Faith,Damien Jurado,False,18,0.515,0.565,11,-7.446,1,0.0376,0.675,0.000702,0.107,0.622,160.046,audio_features,spotify:track:3N6VcjCemGiNVTja2jO18j,https://api.spotify.com/v1/tracks/3N6VcjCemGiNVTja2jO18j,https://api.spotify.com/v1/audio-analysis/3N6VcjCemGiNVTja2jO18j,2.956,4
6J3HNhDBIwEX11bX8hzx5u,Black Pumas,Colors,Black Pumas,False,65,0.546,0.696,4,-6.537,1,0.0335,0.0887,1.84e-05,0.195,0.596,89.882,audio_features,spotify:track:6J3HNhDBIwEX11bX8hzx5u,https://api.spotify.com/v1/tracks/6J3HNhDBIwEX11bX8hzx5u,https://api.spotify.com/v1/audio-analysis/6J3HNhDBIwEX11bX8hzx5u,4.109783333333334,4
6zfczP87XO2SxWlQtnjFNa,The English Riviera,The Look,Metronomy,False,70,0.638,0.535,9,-7.792,0,0.0415,0.623,0.0391,0.0837,0.504,84.947,audio_features,spotify:track:6zfczP87XO2SxWlQtnjFNa,https://api.spotify.com/v1/tracks/6zfczP87XO2SxWlQtnjFNa,https://api.spotify.com/v1/audio-analysis/6zfczP87XO2SxWlQtnjFNa,4.62755,4
279LczresTWVkCsdLwgJSZ,Warhaus,Love's a Stranger,Warhaus,False,55,0.564,0.585,9,-8.823,0,0.0379,0.202,0.00206,0.118,0.624,161.667,audio_features,spotify:track:279LczresTWVkCsdLwgJSZ,https://api.spotify.com/v1/tracks/279LczresTWVkCsdLwgJSZ,https://api.spotify.com/v1/audio-analysis/279LczresTWVkCsdLwgJSZ,3.44475,4
3HedB2EwVAj5MAx8xFE1ea,Down the Way,Big Jet Plane,Angus & Julia Stone,False,60,0.763,0.382,10,-8.633,0,0.0276,0.235,0.00663,0.108,0.264,109.944,audio_features,spotify:track:3HedB2EwVAj5MAx8xFE1ea,https://api.spotify.com/v1/tracks/3HedB2EwVAj5MAx8xFE1ea,https://api.spotify.com/v1/audio-analysis/3HedB2EwVAj5MAx8xFE1ea,3.985333333333333,4
5XNpdKmlLJPUbwKQceX2tW,Couldn't Stand The Weather (Legacy Edition),Little Wing,Stevie Ray Vaughan,False,60,0.475,0.383,1,-14.202,1,0.0375,0.362,0.749,0.0728,0.524,114.709,audio_features,spotify:track:5XNpdKmlLJPUbwKQceX2tW,https://api.spotify.com/v1/tracks/5XNpdKmlLJPUbwKQceX2tW,https://api.spotify.com/v1/audio-analysis/5XNpdKmlLJPUbwKQceX2tW,6.808,4
407ltk0BtcZI8kgu0HH4Yj,The Boatman's Call (2011 Remastered Version),Into My Arms - 2011 Remastered Version,Nick Cave & The Bad Seeds,False,64,0.484,0.0874,0,-17.796,1,0.0394,0.894,0.154,0.11,0.219,94.163,audio_features,spotify:track:407ltk0BtcZI8kgu0HH4Yj,https://api.spotify.com/v1/tracks/407ltk0BtcZI8kgu0HH4Yj,https://api.spotify.com/v1/audio-analysis/407ltk0BtcZI8kgu0HH4Yj,4.268666666666666,4
3hxoYmSHzIBwSS2bPTOfbg,Riot On An Empty Street,Misread,Kings of Convenience,False,61,0.637,0.625,6,-9.783,1,0.0382,0.734,0.514,0.128,0.896,160.748,audio_features,spotify:track:3hxoYmSHzIBwSS2bPTOfbg,https://api.spotify.com/v1/tracks/3hxoYmSHzIBwSS2bPTOfbg,https://api.spotify.com/v1/audio-analysis/3hxoYmSHzIBwSS2bPTOfbg,3.14,4
3rO0q1aaGUO6Bnsxp2lpu0,Animal,The Opposite of Us,Big Scary,False,0,0.747,0.802,7,-5.768,1,0.0351,0.284,0.00258,0.102,0.589,117.001,audio_features,spotify:track:3rO0q1aaGUO6Bnsxp2lpu0,https://api.spotify.com/v1/tracks/3rO0q1aaGUO6Bnsxp2lpu0,https://api.spotify.com/v1/audio-analysis/3rO0q1aaGUO6Bnsxp2lpu0,4.375116666666667,4
